Esperanza de vida al nacer en la UE 27. Mujeres (años). 2010-2021
2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
UE 27 ;82,9;83,1;83,1;83,3;83,7;83,3;83,7;83,6;83,7;84;83,2;82,8
Alemania;83;83,1;83,1;83;83,6;83,1;83,5;83,4;83,3;83,7;83,5;:
Austria;83,5;83,8;83,6;83,8;84;83,7;84,1;84;84,1;84,2;83,6;83,8
Bélgica;83;83,3;83,1;83,2;83,9;83,4;84;83,9;83,9;84,3;83;84,4
Bulgaria;77,4;77,8;77,9;78,6;78;78,2;78,5;78,4;78,6;78,8;77,5;75,1
Chipre;83,9;83,1;83,4;85;84,3;83,7;84,9;84,2;84,8;84,4;84,4;83,9
Croacia;79,9;80,4;80,6;81;81;80,5;81,3;81;81,5;81,6;80,9;79,9
Dinamarca;81,4;81,9;82,1;82,4;82,8;82,7;82,8;83,1;82,9;83,5;83,6;83,3
Eslovaquia;79,3;79,8;79,9;80,1;80,5;80,2;80,7;80,7;80,8;81,2;80,4;78,3
Eslovenia;83,1;83,3;83,3;83,6;84,1;83,9;84,3;84;84,4;84,5;83,4;84
España;85,5;85,6;85,5;86,1;86,2;85,7;86,3;86,1;86,3;86,7;85,2;86,2
Estonia ;80,8;81,3;81,5;81,7;81,9;82,2;82,2;82,6;82,7;83;83;81,3
Finlandia;83,5;83,8;83,7;84,1;84,1;84,4;84,4;84,5;84,5;84,8;84,8;84,7
Francia;85,3;85,7;85,4;85,6;86,1;85,6;85,8;85,7;85,8;85,9;85,3;85,5
Grecia;83,3;83,6;83,4;84;84,1;83,7;84;83,9;84,4;84,2;83,9;83
Hungría;78,6;78,7;78,7;79,1;79,4;79;79,7;79,3;79,6;79,7;79;78
Irlanda;83,1;83;83,1;83,1;83,5;83,4;83,6;84;84,1;84,7;84,4;:
Italia;84,7;84,8;84,8;85,2;85,6;84,9;85,6;85,2;85,6;85,7;84,5;85,1
Letonia;78;78,8;78,9;78,9;79,4;79,5;79,6;79,7;79,7;80,1;80;78,2
Lituania ;78,9;79,3;79,6;79,6;80,1;79,7;80,1;80,5;80,7;81,2;80,1;79
Luxemburgo;83,5;83,6;83,8;83,9;85,2;84,7;85,4;84,4;84,6;85,2;84,5;84,9
Malta;83,6;83;83;84;84,3;84,1;84,4;84,6;84,6;84,6;84,5;84,5
Países Bajos;83;83,1;83;83,2;83,5;83,2;83,2;83,4;83,4;83,7;83,1;83,1
Polonia ;80,7;81,1;81,1;81,2;81,7;81,6;82;81,8;81,7;81,9;80,7;79,7
Portugal;83,2;83,8;83,6;84;84,4;84,3;84,3;84,6;84,5;84,8;84,1;84,3
República Checa;80,9;81,1;81,2;81,3;82;81,6;82,1;82;82;82,2;81,3;80,6
Rumanía;77,7;78,2;78,1;78,7;78,7;78,6;79;79;79,2;79,5;78,3;76,7
Suecia;83,6;83,8;83,6;83,8;84,2;84,1;84,1;84,1;84,3;84,8;84,2;85
C. A. de Euskadi;85,4;85,4;85,4;85,4;85,4;86,2;86,2;86,3;86,4;86,6;86,3;86,6
(:) No se dispone de datos.
Fuente: Eustat. Euskadi en la Unión Europea y Eurostat (13-12-2022) 
