country,hapiscore,income,energy,gini,gender
Albania2005,0.48450000000000004,7430,720.0,30.7,1.0
Algeria2005,0.533,12400,978.0,30.8,0.872
Angola2005,0.415,5110,434.0,47.3,0.6779999999999999
Argentina2005,0.6425000000000001,15600,1720.0,47.9,1.07
Armenia2005,0.434,5360,843.0,33.5,1.03
Australia2005,0.7340000000000001,39000,5560.0,34.3,1.01
Austria2005,0.7290000000000001,41300,4090.0,29.6,0.99
Azerbaijan2005,0.503,8180,1600.0,32.3,0.9890000000000001
Bahrain2005,0.609,43200,11700.0,40.0,1.06
Bangladesh2005,0.46499999999999997,1990,164.0,33.1,0.716
Belarus2005,0.5555000000000001,11200,2770.0,28.1,1.05
Belgium2005,0.726,39800,5560.0,29.1,1.04
Belize2005,0.6205,7850,567.0,53.3,0.9640000000000001
Benin2005,0.36700000000000005,1740,313.0,39.7,0.446
Bhutan2005,0.508,4580,314.0,39.5,0.442
Bolivia2005,0.5775,4640,563.0,56.4,0.872
Bosnia and Herzegovina2005,0.5105,8350,1340.0,33.4,0.966
Botswana2005,0.3655,11700,1040.0,63.5,1.11
Brazil2005,0.664,12400,1160.0,56.2,1.11
Bulgaria2005,0.444,12400,2600.0,32.3,1.06
Cambodia2005,0.41600000000000004,1970,259.0,42.0,0.7290000000000001
Cameroon2005,0.44899999999999995,2780,398.0,42.6,0.75
Canada2005,0.742,40600,8420.0,33.8,1.01
Chile2005,0.651,17000,1750.0,49.6,1.03
China2005,0.5095000000000001,5700,1390.0,41.1,0.847
Colombia2005,0.625,9340,635.0,54.2,1.05
Comoros2005,0.39,2370,60.5,53.9,0.7490000000000001
"Congo, Dem. Rep.2005",0.441,594,304.0,42.2,0.645
"Congo, Rep.2005",0.4315,4870,300.0,47.4,0.8059999999999999
Costa Rica2005,0.7195,10900,902.0,48.8,1.08
Cote d'Ivoire2005,0.4495,2680,524.0,42.3,0.5539999999999999
Croatia2005,0.5465,20100,2260.0,31.0,1.05
Cuba2005,0.542,5250,947.0,42.8,1.04
Cyprus2005,0.617,33600,2160.0,30.5,1.02
Czech Republic2005,0.644,25800,4400.0,26.9,1.01
Denmark2005,0.802,44600,3490.0,25.6,1.03
Djibouti2005,0.496,2290,177.0,41.5,0.431
Dominican Republic2005,0.5165,9150,760.0,50.9,1.09
Ecuador2005,0.594,8550,675.0,53.2,1.03
Egypt2005,0.517,8140,814.0,31.8,0.7659999999999999
El Salvador2005,0.608,5890,745.0,47.5,0.9520000000000001
Estonia2005,0.5489999999999999,22800,3850.0,33.8,1.07
Eswatini2005,0.431,7240,387.0,52.2,1.01
Ethiopia2005,0.44099999999999995,736,483.0,30.2,0.5710000000000001
Finland2005,0.7555,39100,6560.0,27.9,1.05
France2005,0.7090000000000001,36400,4290.0,30.8,1.05
Gabon2005,0.466,17000,2160.0,42.4,0.981
Gambia2005,0.475,1430,70.0,46.7,0.489
Georgia2005,0.4225,5250,728.0,37.1,1.04
Germany2005,0.662,37700,4090.0,30.9,1.0
Ghana2005,0.49700000000000005,2510,270.0,42.3,0.737
Greece2005,0.601,29600,2750.0,34.0,1.02
Guatemala2005,0.6345000000000001,6270,602.0,54.3,0.835
Guyana2005,0.599,4730,663.0,43.2,1.04
Haiti2005,0.3795,1570,370.0,56.4,0.7859999999999999
Honduras2005,0.541,3660,551.0,57.8,1.05
Hungary2005,0.519,22500,2730.0,30.3,1.03
Iceland2005,0.75,40700,10500.0,28.7,1.06
India2005,0.4475,3410,450.0,34.0,0.623
Indonesia2005,0.523,6840,794.0,33.0,0.8959999999999999
Iran2005,0.531,15800,2480.0,43.9,0.831
Iraq2005,0.466,10900,982.0,28.6,0.757
Ireland2005,0.7040000000000001,46600,3500.0,33.0,1.04
Israel2005,0.7215,26600,2660.0,41.0,1.03
Italy2005,0.685,37600,3210.0,33.9,1.02
Jamaica2005,0.5800000000000001,8430,1360.0,45.7,1.06
Japan2005,0.652,35700,4060.0,31.9,1.01
Jordan2005,0.629,8740,1160.0,35.4,0.971
Kazakhstan2005,0.5800000000000001,16000,3360.0,31.4,1.03
Kenya2005,0.4405,2190,437.0,46.1,0.8640000000000001
Kuwait2005,0.618,93700,11600.0,40.0,1.03
Kyrgyz Republic2005,0.5035000000000001,2370,499.0,33.5,1.03
Latvia2005,0.515,17500,2020.0,36.7,1.06
Lebanon2005,0.5489999999999999,10500,1070.0,31.9,1.04
Lesotho2005,0.3805,1910,16.5,52.3,1.26
Libya2005,0.5555,26000,3070.0,40.0,0.667
Lithuania2005,0.579,18500,2660.0,35.2,1.03
Luxembourg2005,0.706,88600,9430.0,30.7,1.01
Malaysia2005,0.58,18600,2560.0,46.1,0.991
Maldives2005,0.52,9250,704.0,40.5,0.917
Malta2005,0.645,26300,2180.0,28.3,1.0
Mauritius2005,0.5765,12900,946.0,35.3,0.966
Mexico2005,0.6579999999999999,16200,1690.0,48.8,0.963
Moldova2005,0.56,4000,1210.0,35.2,1.07
Mongolia2005,0.4945,6050,1190.0,34.4,1.1
Montenegro2005,0.525,11800,1750.0,30.4,0.992
Morocco2005,0.509,5370,487.0,40.7,0.653
Mozambique2005,0.4635,758,414.0,46.6,0.5379999999999999
Myanmar2005,0.436,2250,304.0,38.1,1.0
Namibia2005,0.457,7700,684.0,62.8,1.04
Nepal2005,0.4745,1680,355.0,41.7,0.442
Netherlands2005,0.746,43800,4990.0,29.8,0.991
New Zealand2005,0.731,31900,4100.0,32.9,1.03
Nicaragua2005,0.573,3720,526.0,45.0,1.11
Niger2005,0.4235,763,127.0,42.8,0.45399999999999996
Nigeria2005,0.4935,4120,758.0,40.9,0.69
North Macedonia2005,0.507,9390,1360.0,40.7,1.01
Norway2005,0.758,62900,5800.0,28.6,1.03
Oman2005,0.685,41500,3940.0,40.0,0.8
Pakistan2005,0.522,3850,477.0,32.1,0.503
Panama2005,0.6744999999999999,11900,875.0,54.4,1.08
Paraguay2005,0.568,8020,680.0,52.9,1.08
Peru2005,0.569,7530,490.0,51.1,0.9259999999999999
Philippines2005,0.5035000000000001,4780,450.0,44.6,1.06
Poland2005,0.5589999999999999,17200,2410.0,34.9,1.04
Portugal2005,0.5315000000000001,26600,2520.0,38.2,1.08
Qatar2005,0.659,110000,19300.0,40.0,1.22
Romania2005,0.505,14400,1810.0,31.7,0.998
Russia2005,0.5545,19300,4540.0,41.0,1.05
Saudi Arabia2005,0.708,45700,5150.0,40.0,0.7070000000000001
Senegal2005,0.4505,2680,252.0,39.7,0.5870000000000001
Serbia2005,0.5115000000000001,10800,2160.0,32.6,1.02
Singapore2005,0.653,62600,5060.0,42.2,0.963
Slovak Republic2005,0.605,20000,3500.0,27.7,1.02
Slovenia2005,0.6005,27000,3650.0,25.8,1.05
South Africa2005,0.4885,11000,2680.0,63.4,1.02
South Korea2005,0.5855,25500,4360.0,32.0,0.965
South Sudan2005,0.289,3360,65.4,45.0,0.336
Spain2005,0.715,32900,3250.0,33.0,1.04
Sri Lanka2005,0.433,6470,461.0,40.5,1.02
Sudan2005,0.444,2750,374.0,35.5,0.6829999999999999
Suriname2005,0.627,11900,1270.0,59.5,0.9840000000000001
Sweden2005,0.738,41300,5710.0,26.3,1.03
Switzerland2005,0.7509999999999999,52800,3490.0,34.4,0.9640000000000001
Syria2005,0.40399999999999997,5650,1130.0,35.6,0.7879999999999999
Tajikistan2005,0.49,1720,345.0,32.9,0.92
Tanzania2005,0.357,1910,448.0,39.3,0.8440000000000001
Thailand2005,0.604,11500,1510.0,41.7,0.995
Togo2005,0.377,1150,423.0,43.0,0.507
Trinidad and Tobago2005,0.619,26400,12400.0,41.0,1.05
Tunisia2005,0.47600000000000003,8800,823.0,38.3,0.7509999999999999
Turkey2005,0.47200000000000003,16300,1240.0,40.8,0.7979999999999999
Turkmenistan2005,0.5625,6500,4030.0,46.4,0.998
Ukraine2005,0.47550000000000003,7280,3030.0,28.7,1.04
United Arab Emirates2005,0.681,91600,9700.0,40.0,1.04
United Kingdom2005,0.698,37200,3690.0,35.3,1.01
United States2005,0.7135,49500,7850.0,40.7,1.02
Uruguay2005,0.6355,13000,890.0,45.8,1.09
Uzbekistan2005,0.594,3080,1800.0,33.9,0.9990000000000001
Venezuela2005,0.7170000000000001,15100,2130.0,49.3,1.08
Vietnam2005,0.53,3430,492.0,36.3,0.961
Yemen2005,0.39,4250,328.0,34.8,0.254
Zambia2005,0.473,2520,618.0,50.7,0.809
Zimbabwe2005,0.37849999999999995,1980,796.0,43.2,0.877
Albania2006,0.48450000000000004,7910,707.0,30.4,1.0
Algeria2006,0.533,12400,1030.0,30.3,0.8759999999999999
Angola2006,0.415,5500,459.0,46.2,0.685
Argentina2006,0.631,16700,1850.0,46.7,1.07
Armenia2006,0.429,6110,865.0,32.7,1.03
Australia2006,0.7290000000000001,39500,5710.0,34.7,1.02
Austria2006,0.7120000000000001,42500,4080.0,29.8,0.992
Azerbaijan2006,0.473,10900,1560.0,31.9,0.991
Bahrain2006,0.609,42700,11600.0,40.0,1.06
Bangladesh2006,0.43200000000000005,2100,173.0,33.0,0.7240000000000001
Belarus2006,0.5660000000000001,12400,2970.0,28.0,1.05
Belgium2006,0.6940000000000001,40500,5470.0,29.1,1.04
Belize2006,0.6205,8000,590.0,53.3,0.9670000000000001
Benin2006,0.33299999999999996,1750,359.0,40.2,0.451
Bhutan2006,0.508,4830,321.0,39.0,0.447
Bolivia2006,0.537,4780,692.0,55.1,0.8759999999999999
Bosnia and Herzegovina2006,0.5105,8800,1410.0,33.5,0.97
Botswana2006,0.474,12400,1050.0,62.9,1.12
Brazil2006,0.665,12700,1180.0,55.5,1.11
Bulgaria2006,0.444,13400,2690.0,33.2,1.06
Cambodia2006,0.35700000000000004,2150,254.0,42.0,0.733
Cameroon2006,0.385,2800,369.0,42.8,0.7559999999999999
Canada2006,0.742,41200,8240.0,33.8,1.01
Chile2006,0.606,17900,1810.0,49.0,1.03
China2006,0.456,6390,1520.0,41.5,0.851
Colombia2006,0.602,9840,659.0,54.6,1.05
Comoros2006,0.39,2380,67.0,53.8,0.7559999999999999
"Congo, Dem. Rep.2006",0.441,605,306.0,42.2,0.65
"Congo, Rep.2006",0.4315,5000,379.0,47.6,0.812
Costa Rica2006,0.708,11600,963.0,48.6,1.08
Cote d'Ivoire2006,0.4495,2660,504.0,42.6,0.56
Croatia2006,0.5465,21100,2250.0,31.7,1.05
Cuba2006,0.542,5920,946.0,42.9,1.04
Cyprus2006,0.624,34600,2210.0,30.9,1.03
Czech Republic2006,0.6555,27500,4490.0,26.7,1.02
Denmark2006,0.765,46200,3730.0,25.5,1.03
Djibouti2006,0.496,2360,180.0,42.1,0.436
Dominican Republic2006,0.509,9860,777.0,50.0,1.09
Ecuador2006,0.502,8780,667.0,52.4,1.03
Egypt2006,0.4595,8540,845.0,31.7,0.7709999999999999
El Salvador2006,0.57,6120,779.0,46.8,0.9570000000000001
Estonia2006,0.537,25300,3780.0,32.9,1.08
Eswatini2006,0.431,7630,392.0,52.0,1.01
Ethiopia2006,0.44099999999999995,794,484.0,30.5,0.575
Finland2006,0.767,40500,7110.0,27.9,1.05
France2006,0.6579999999999999,37000,4190.0,31.1,1.05
Gabon2006,0.466,16000,2360.0,41.9,0.982
Gambia2006,0.475,1410,71.6,46.3,0.494
Georgia2006,0.368,5770,781.0,37.4,1.04
Germany2006,0.6795,39100,4200.0,31.0,1.0
Ghana2006,0.45399999999999996,2600,280.0,42.5,0.742
Greece2006,0.541,31100,2740.0,34.2,1.03
Guatemala2006,0.59,6460,600.0,54.1,0.8390000000000001
Guyana2006,0.599,4970,670.0,43.2,1.04
Haiti2006,0.375,1580,375.0,55.6,0.7909999999999999
Honduras2006,0.54,3810,523.0,57.3,1.06
Hungary2006,0.5065,23400,2710.0,29.6,1.03
Iceland2006,0.75,41800,12700.0,29.7,1.06
India2006,0.535,3630,466.0,34.2,0.629
Indonesia2006,0.495,7120,802.0,33.8,0.9009999999999999
Iran2006,0.47350000000000003,16400,2560.0,43.7,0.8370000000000001
Iraq2006,0.466,11800,909.0,28.6,0.763
Ireland2006,0.7140000000000001,47600,3420.0,32.6,1.04
Israel2006,0.7170000000000001,27600,2880.0,41.3,1.03
Italy2006,0.6265000000000001,38200,3180.0,33.7,1.03
Jamaica2006,0.621,8630,1510.0,45.5,1.06
Japan2006,0.5935,36100,4050.0,32.0,1.02
Jordan2006,0.53,9090,1140.0,34.7,0.975
Kazakhstan2006,0.5479999999999999,17500,4010.0,30.4,1.03
Kenya2006,0.42200000000000004,2270,443.0,46.0,0.8690000000000001
Kuwait2006,0.608,96400,10800.0,40.0,1.03
Kyrgyz Republic2006,0.46399999999999997,2420,485.0,34.0,1.03
Latvia2006,0.47100000000000003,19800,2110.0,36.7,1.06
Lebanon2006,0.465,10600,1010.0,31.8,1.04
Lesotho2006,0.3805,2000,9.55,52.7,1.26
Libya2006,0.5555,27300,3050.0,40.0,0.6729999999999999
